ticker,name,sector,price,day_chg,pe_ttm,pb,ps_ttm,ev_ebitda,earn_yld,book_yld,sales_yld,ebitda_yld,roe,gross_margin,asset_turnover,gp_assets,op_margin_ttm,op_margin_5y,margin_ratio,margin_stability,debt_equity,current_ratio,rev_growth,eps_growth,w52_high,w52_low,w52_pos,mom_12_1,mean_target,upside_pct,analyst_score,analyst_score_3m_ago,revision_3m,buy_ratio,strong_buy,buy,hold,sell,strong_sell,total_recs,sue,pead_decay,last_report,has_earnings,score_value_raw,cyc_guard,score_value,score_momentum,score_quality,score_sentiment,score_catalyst,weighted_mean,worst_lens,score_composite,rank,score_value_pct,score_momentum_pct,score_quality_pct,score_sentiment_pct,score_catalyst_pct,score_composite_pct,as_of,version,universe,in_top_n
NEM,Newmont Corporation,Materials,125.16,2.06,13.9638,2.8292,4.6589,7.4395,0.07161374410976955,0.35345680757811393,0.21464294146686985,0.1344176355937899,25.05,68.94,0.4538,0.31284972,50.97,14.04,3.6303418803418803,-1.2893268257542854,0.1588,2.5461,25.18,42.23,135.29,73.44,0.8362166531932095,66.6646,136.25160000000002,8.9,0.7890625,0.7903225806451613,-0.0012600806451612545,0.84375,10,17,5,0,0,32,0.4196666916223682,0.0,2026-06-30,False,0.7837139962367925,0.5,0.39185699811839625,0.8933333333333333,0.5275570046376977,0.42066442953020133,0.29206665123813935,0.4735075678460029,0.29206665123813935,0.4372193845244302,62,0.36666666666666664,0.8933333333333333,0.56,0.34,0.37333333333333335,0.5933333333333334,2026-09-03,v2,SPY Top 150,False
ACN,Accenture PLC,Technology,187.68,-0.22,14.2589,3.7846,1.5195,8.0936,0.07013163708280443,0.2642287163768958,0.6581112207963146,0.12355441336364534,24.89,32.01,1.0994,0.35191794,14.49,14.67,0.9877300613496933,-0.012345835822299266,0.1612,1.3392,6.74,-0.37,291.09,118.15,0.40204695270035856,-25.696,198.86123999999998,6.0,0.6953125,0.6953125,0.0,0.59375,6,13,13,0,0,32,0.7184978836946156,0.0,2026-06-30,True,0.8534621508177739,1.0,0.8534621508177739,0.05333333333333334,0.7136954261063337,0.3269127516778524,0.22534598472575793,0.5319919469141111,0.05333333333333334,0.43626022419795557,63,0.9333333333333333,0.05333333333333334,0.9,0.24,0.25333333333333335,0.5866666666666667,2026-09-03,v2,SPY Top 150,False
SHW,Sherwin-Williams Co,Materials,331.25,0.39,32.4412,22.0307,3.5726,25.5986,0.03082500030825,0.04539120409247096,0.2799081901136427,0.039064636347300244,62.12,48.98,0.9261,0.45360377999999996,14.29,13.15,1.0866920152091253,-0.08313823331800231,3.1318,0.727,5.76,7.65,377.77,289.86,0.4708224320327608,-6.522799999999999,400.062564,20.8,0.6796875,0.675,0.004687499999999956,0.5625,5,13,14,0,0,32,3.1691329705456672,0.0,2026-06-30,False,0.37154436242582134,1.0,0.37154436242582134,0.24,0.613540287023017,0.5547986577181208,0.48704929414487386,0.4849653023787156,0.24,0.4359722419029725,64,0.35333333333333333,0.24,0.7266666666666667,0.58,0.7866666666666666,0.58,2026-09-03,v2,SPY Top 150,False
MCK,McKesson Corp,Healthcare,924.78,1.99,21.895,4.0599,0.2446,15.5529,0.04567252797442339,0.24631148550456908,4.088307440719542,0.06429669064933229,39.43,3.64,4.8493,0.17651452000000004,1.58,1.26,1.253968253968254,-0.22631312607548879,1.2917,0.8931,8.84,49.07,999.0,682.35,0.7656087162482235,29.406000000000002,1001.9970000000001,8.3,0.78125,0.8152173913043478,-0.03396739130434778,0.7916666666666666,8,11,5,0,0,24,1.2166907739266106,0.0,2026-06-30,False,0.7501505282964249,1.0,0.7501505282964249,0.6333333333333333,0.40244078602786426,0.24522147651006712,0.41365424670215234,0.48269563352313516,0.24522147651006712,0.4352008021205216,65,0.84,0.6333333333333333,0.29333333333333333,0.14,0.64,0.5733333333333334,2026-09-03,v2,SPY Top 150,False
VRT,Vertiv Holdings Co,Technology,256.7,0.29,58.8626,27.032,8.881,43.026,0.016988716094769853,0.03699319325244155,0.11259993244004053,0.023241760795797886,42.11,38.04,0.8775,0.333801,18.41,8.12,2.267241379310345,-0.8185638410714001,0.6179,1.3786,26.23,111.16,379.935,118.7,0.5282599957892319,105.1761,337.638258,31.5,0.7916666666666666,0.7794117647058824,0.01225490196078427,0.8888888888888888,10,22,4,0,0,36,1.1606471166956316,0.0,2026-06-30,False,0.15955565204805328,0.6615969581749048,0.10556153405460557,0.9266666666666666,0.5499572560447199,0.8433020134228189,0.4284147188150891,0.5169668375005612,0.10556153405460557,0.4346857768113701,66,0.06,0.9266666666666666,0.6133333333333333,0.9333333333333333,0.66,0.5666666666666667,2026-09-03,v2,SPY Top 150,False
ISRG,Intuitive Surgical Inc,Healthcare,371.88,0.71,45.1637,7.7521,12.8471,38.5189,0.02214167572630232,0.12899730395634731,0.0778385783562049,0.02596128134500206,17.810000000000002,66.68,0.5463,0.36427284000000004,31.28,27.89,1.1215489422732163,-0.11471071403771285,0.0,4.9627,20.66,21.76,603.88,328.57,0.15731357378954633,-14.3865,490.3854,31.9,0.75625,0.7375,0.018749999999999933,0.725,13,16,10,1,0,40,2.196718857664023,0.0,2026-06-30,False,0.23001519756838906,1.0,0.23001519756838906,0.14666666666666667,0.6601142330657371,0.8321946308724832,0.4552001851423282,0.5049236899243309,0.14666666666666667,0.43327228527279804,67,0.19333333333333333,0.14666666666666667,0.8,0.92,0.7133333333333334,0.56,2026-09-03,v2,SPY Top 150,False
CMCSA,Comcast Corp,Comm Services,26.81,1.94,8.2085,0.977,0.736,5.1249,0.12182493756471949,1.0235414534288638,1.358695652173913,0.19512575855138636,12.04,69.39,0.4699,0.32606360999999995,14.66,16.83,0.87106357694593,-0.13804031174420914,1.0069,0.7958,0.58,-49.0,32.86,21.28,0.47754749568221055,-16.2993,32.014842,19.4,0.6125,0.6125,0.0,0.4,5,11,21,3,0,40,1.574690361946826,0.0,2026-06-30,False,0.9946258503401362,1.0,0.9946258503401362,0.11333333333333333,0.4084709453475417,0.41527516778523493,0.3069335801897709,0.5116261501081425,0.11333333333333333,0.4319675867531807,68,1.0,0.11333333333333333,0.30666666666666664,0.32666666666666666,0.42,0.5533333333333333,2026-09-03,v2,SPY Top 150,False
TJX,TJX Companies Inc,Cons Discretionary,131.31,-1.47,28.9551,16.4379,2.7223,18.6689,0.034536230232325216,0.0608350215051801,0.3673364434485545,0.05356501989940489,59.660000000000004,31.35,1.7596,0.5516346,12.26,10.47,1.1709646609360076,-0.15782790562561982,0.2759,1.1389,8.06,21.32,170.0,131.18,0.003348789283874175,-3.9090999999999996,173.91,32.4,0.7592592592592593,0.8076923076923077,-0.04843304843304841,0.7777777777777778,8,13,5,1,0,27,0.41155072386631114,0.0,2026-09-30,False,0.4905058619192358,1.0,0.4905058619192358,0.2733333333333333,0.7258854955289546,0.3895436241610738,0.23096505438555892,0.4802789304618773,0.23096505438555892,0.4304161552466137,69,0.54,0.2733333333333333,0.92,0.30666666666666664,0.26666666666666666,0.5466666666666666,2026-09-03,v2,SPY Top 150,False
CB,Chubb Limited,Financials,339.42,0.2,11.8429,1.7534,2.1433,8.8394,0.08443877766425453,0.5703205201323144,0.4665702421499557,0.11312985044233773,15.18,,0.2249,,23.26,19.24,1.2089397089397091,-0.1897437018529581,0.2425,0.162,8.02,24.7,365.91,265.3,0.7367060928337142,21.7548,361.746978,6.6,0.6642857142857143,0.6714285714285714,-0.0071428571428571175,0.5142857142857142,8,10,15,1,1,35,0.8488979884416739,0.0,2026-06-30,False,0.8946895353886235,1.0,0.8946895353886235,0.5466666666666666,0.43887971507204143,0.1735302013422819,0.32193936588752603,0.4929999101870203,0.1735302013422819,0.4291059684180726,70,0.98,0.5466666666666666,0.37333333333333335,0.08666666666666667,0.44,0.54,2026-09-03,v2,SPY Top 150,False
AXP,American Express Co,Financials,329.98,1.79,20.102,6.7327,2.8324,24.1229,0.04974629390110437,0.14852882201791257,0.35305747775737895,0.04145438566673161,34.12,60.62,0.2675,0.1621585,18.18,18.88,0.9629237288135594,-0.03778107196802181,6.3017,0.2566,9.48,15.53,387.49,290.97,0.4041649399088272,1.9944000000000002,383.44543799999997,16.2,0.6554054054054054,0.6458333333333334,0.009572072072072002,0.5405405405405406,5,15,16,0,1,37,0.8756622349151112,0.0,2026-06-30,False,0.5890143291359097,1.0,0.5890143291359097,0.3466666666666667,0.40021274366959025,0.5678187919463087,0.2969266373524647,0.46008682604365264,0.2969266373524647,0.4274547883054151,71,0.6466666666666666,0.3466666666666667,0.26666666666666666,0.6066666666666667,0.3933333333333333,0.5333333333333333,2026-09-03,v2,SPY Top 150,False
