ticker,name,sector,price,day_chg,pe_ttm,pb,ps_ttm,ev_ebitda,earn_yld,book_yld,sales_yld,ebitda_yld,roe,gross_margin,asset_turnover,gp_assets,op_margin_ttm,op_margin_5y,margin_ratio,margin_stability,debt_equity,current_ratio,rev_growth,eps_growth,w52_high,w52_low,w52_pos,stale_ref,mom_12_1,mean_target,upside_pct,analyst_score,analyst_score_3m_ago,revision_3m,buy_ratio,strong_buy,buy,hold,sell,strong_sell,total_recs,sue,pead_decay,last_report,days_since_report,has_earnings,score_value_raw,cyc_guard,score_value,score_momentum,score_quality,score_sentiment,score_catalyst,score_value_uni,score_quality_uni,weighted_mean,worst_lens,score_composite,rank,score_value_pct,score_momentum_pct,score_quality_pct,score_sentiment_pct,score_catalyst_pct,score_composite_pct,as_of,version,universe,in_top_n
ADI,Analog Devices Inc,Technology,361.02,-4.69,,,,,,,,,,,,,,,,,,,,,,,,False,,477.65814600000004,32.3,0.8076923076923077,0.7894736842105263,0.018218623481781382,0.8974358974358975,13,22,4,0,0,39,1.5955163581443985,0.55,2026-08-19,27.0,False,0.5,1.0,0.7058823529411765,0.5,0.38235294117647056,0.9053691275167786,0.567013422818792,0.5,0.5,0.6073023095144098,0.38235294117647056,0.5623124358468219,12,0.7333333333333333,0.5,0.36666666666666664,1.0,0.7866666666666666,0.9266666666666666,2026-09-15,v2,SPY Top 150,False
PWR,Quanta Services Inc,Technology,622.02,-4.39,,,,,,,,,,,,,,,,,,,,,,,,False,,803.6281140000001,29.2,0.7708333333333334,0.75,0.02083333333333337,0.7777777777777778,11,17,8,0,0,36,4.549570905131631,0.21666666666666667,2026-07-30,47.0,True,0.5,1.0,0.7058823529411765,0.5,0.38235294117647056,0.8503355704697987,0.6381543624161073,0.5,0.5,0.6069667390446111,0.38235294117647056,0.5620439794709831,13,0.7333333333333333,0.5,0.36666666666666664,0.9466666666666667,0.9,0.92,2026-09-15,v2,SPY Top 150,False
RTX,RTX,Industrials,195.34,-1.18,,,,,,,,,,,,,,,,,,,,,,,,False,,229.473582,17.5,0.7083333333333334,0.7,0.008333333333333415,0.6666666666666666,7,13,9,0,1,30,2.8071139588492993,0.09999999999999998,2026-07-23,54.0,True,0.5,1.0,0.62,0.5,0.58,0.574496644295302,0.5360402684563759,0.5,0.5,0.5743053691275168,0.5,0.5594442953020135,14,0.6233333333333333,0.5,0.57,0.6066666666666667,0.7466666666666667,0.9133333333333333,2026-09-15,v2,SPY Top 150,False
JCI,Johnson Controls International PLC,Industrials,137.76,-5.65,,,,,,,,,,,,,,,,,,,,,,,,False,,167.254806,21.4,0.7019230769230769,0.7019230769230769,0.0,0.6153846153846154,5,11,10,0,0,26,7.045665528882793,0.19999999999999996,2026-07-29,48.0,False,0.5,1.0,0.62,0.5,0.58,0.4808724832214765,0.6532885906040268,0.5,0.5,0.5731677852348993,0.4808724832214765,0.5547087248322148,15,0.6233333333333333,0.5,0.57,0.46,0.9266666666666666,0.9066666666666666,2026-09-15,v2,SPY Top 150,False
CSCO,Cisco Systems Inc,Technology,110.06,-1.85,33.3219,8.9802,6.9812,28.5186,0.030010293530681024,0.11135609451905303,0.14324184953876123,0.03506483487969255,27.389999999999997,64.52,0.5069,0.32705188,24.27,24.23,1.001650846058605,-0.001649484910075718,0.5873,0.9311,11.77,30.78,130.3656,66.13,0.6838886847791568,False,64.16789999999999,137.34300000000002,24.8,0.7214285714285714,0.7196969696969697,0.0017316017316016952,0.6857142857142857,7,17,11,0,0,35,2.407220913859974,0.43333333333333335,2026-08-12,34.0,False,0.27638360267049356,1.0,0.35294117647058826,0.9148936170212766,0.7058823529411765,0.5869127516778524,0.6293726291216808,0.27638360267049356,0.627721047778423,0.6032778064059502,0.35294117647058826,0.5532104804188778,16,0.32,0.9466666666666667,0.68,0.6533333333333333,0.8933333333333333,0.9,2026-09-15,v2,SPY Top 150,False
WDC,WDC,Technology,426.94,-4.53,17.1081,22.4549,12.4798,37.5204,0.058451844447951554,0.044533709791626776,0.08012948925463549,0.026652167887335956,117.8,48.85,0.8777,0.42875645,30.25,11.1,2.725225225225225,-1.002551076158562,0.1187,1.3288,35.7,363.83,799.87,94.41,0.47136620077679803,False,365.8338,663.796518,55.5,0.75,0.7586206896551724,-0.008620689655172376,0.7741935483870968,7,17,7,0,0,31,2.217411658221307,0.31666666666666665,2026-08-05,41.0,True,0.3281134959755413,0.5504132231404959,0.29411764705882354,1.0,0.8235294117647058,0.487248322147651,0.6473489932885905,0.1805980068757938,0.6796678996356261,0.6151402487169364,0.29411764705882354,0.5509357283853138,17,0.2866666666666667,1.0,0.8266666666666667,0.48333333333333334,0.9133333333333333,0.8933333333333333,2026-09-15,v2,SPY Top 150,False
CVS,CVS Health Corp,Healthcare,95.55,0.94,,,,,,,,,,,,,,,,,,,,,,,,False,,115.18656,20.6,0.7727272727272727,0.7727272727272727,0.0,0.8484848484848485,8,20,5,0,0,33,2.4974326388402797,0.31666666666666665,2026-08-05,41.0,True,0.5,1.0,0.5952380952380952,0.5,0.5476190476190477,0.5463087248322147,0.5708389261744966,0.5,0.5,0.5579828219878555,0.5,0.5463862575902845,18,0.5433333333333333,0.5,0.51,0.5566666666666666,0.7933333333333333,0.8866666666666667,2026-09-15,v2,SPY Top 150,False
REGN,REGN,Healthcare,793.74,1.57,18.6404,2.0614,5.1941,18.5145,0.05364691744812343,0.4851072086931212,0.19252613542288366,0.054011720543357906,13.81,85.97,0.3805,0.32711585,24.74,35.7,0.6929971988795517,-0.36672932182125173,0.0854,3.3353,9.29,1.88,859.34,541.0,0.7939310171514732,False,39.73909999999999,856.401894,7.9,0.7236842105263158,0.7368421052631579,-0.013157894736842035,0.6842105263157895,8,18,12,0,0,38,2.530298006330677,0.21666666666666667,2026-07-30,47.0,True,0.6282601235415236,1.0,0.8571428571428571,0.8085106382978723,0.7142857142857143,0.2,0.5072381091333528,0.6282601235415236,0.5127782389735533,0.6255082087712188,0.2,0.5404065670169751,19,0.8466666666666667,0.88,0.6866666666666666,0.10666666666666667,0.7133333333333334,0.88,2026-09-15,v2,SPY Top 150,False
LLY,LLY,Healthcare,1138.28,2.02,,,,,,,,,,,,,,,,,,,,,,,,False,,1326.3134459999999,16.5,0.7631578947368421,0.7631578947368421,0.0,0.7894736842105263,11,19,7,1,0,38,3.587324693569875,0.31666666666666665,2026-08-05,41.0,True,0.5,1.0,0.5952380952380952,0.5,0.5476190476190477,0.4828859060402685,0.6278859060402684,0.5,0.5,0.5538553052093321,0.4828859060402685,0.5396614253755194,20,0.5433333333333333,0.5,0.51,0.47333333333333333,0.8866666666666667,0.8733333333333333,2026-09-15,v2,SPY Top 150,False
LRCX,LRCX,Technology,273.49,-8.29,,,,,,,,,,,,,,,,,,,,,,,,False,,375.581034,37.3,0.774390243902439,0.7682926829268293,0.0060975609756097615,0.8536585365853658,10,25,6,0,0,41,3.2502881658104763,0.19999999999999996,2026-07-29,48.0,True,0.5,1.0,0.7058823529411765,0.5,0.38235294117647056,0.7406040268456375,0.5895302013422818,0.5,0.5,0.5777268061587051,0.38235294117647056,0.5386520331622582,21,0.7333333333333333,0.5,0.36666666666666664,0.8533333333333334,0.82,0.8666666666666667,2026-09-15,v2,SPY Top 150,False
